Js=https://clonglii.serv00.net/user_data/youtube020.js?t=1719035247000
ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36
东森新闻台(P2p),P2p://generationnexxxt.com:19806/e9f96143b31a4e869309a60c27c66bc4#P2p://generationnexxxt.com:19806/311e31668d704df7ade8a4d5e745d49b
东森新闻台(P2p),P2p://generationnexxxt.com:19806/f848bf771436495b9ce252af20bea6e2
东森新闻台(备),http://4gtv.mumi.rip:9877/292/4gtv-4gtv152/index.m3u8
东森美洲,http://38.64.72.148:80/hls/modn/list/2015/chunklist0.m3u8
三立iNEWS,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV01.m3u8
三立新聞台,http://125.227.210.55:8162/VideoInput/play.ts
三立新聞台,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV32.m3u8
三立新聞台,http://tianhewan.top/ZIPP.php?url=http://211.72.65.236:8543/.m3u8
三立新聞台,http://aktv.top/AKTV/live/aktv/null-14/AKTV.m3u8
三立新聞台,http://211.23.114.106:8507/http/60.251.39.91:8081/hls/65/807/ch18.m3u8
三立新聞台,http://tianhewan.top/ZIPP.php?url=http://211.72.65.236:8541/.m3u8
三立新聞台,mitv://generationnexxxt.com:19806/9388262af2604cc798800736d070d39e
三立財經新聞,http://aktv.top/AKTV/live/aktv/null-14/AKTV.m3u8
中天新聞,https://sqrxz.us.kg/proxy/http://rjy.x3322.net:5000/litv/4gtv-4gtv009
中天新聞,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV28.m3u8
中天新闻,https://litv.zapi.us.kg/?id=4gtv-4gtv009
中天新聞,http://50.7.234.10:8278/ctinews/playlist.m3u8?tid=MB0B9546410395464103&ct=19249&tsum=30c62d7eec5ce9a49a64c3fa3ff8a8b7
中天新聞,http://211.72.65.236:8541/.m3u8
中天新聞,http://aktv.top/AKTV/live/aktv/null-8/AKTV.m3u8
中天新聞,mitv://generationnexxxt.com:19806/bd9064ee198045a386f1f2dba5073f4e
中天亞洲,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV13.m3u8
中視新聞,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV09.m3u8
中視新聞,https://sqrxz.us.kg/proxy/http://rjy.x3322.net:5000/litv/4gtv-4gtv074
华视新闻,P2p://generationnexxxt.com:19806/ebe8db2daafa47768f37bcae17bfe299
SBN全球財經,https://z88.ubtvfans.com/live/rx6/1497/f9e70480c90f3eaa610233983f7fcbd4/index.m3u8
年代新闻,https://stream1.freetv.fun/28f2a175c45cd3d6885a0432398d36f149c45c516575d0da8a4312b445351c10.m3u8
年代新闻,http://211.23.114.106:8517/http/60.251.39.91:8081/hls/67/809/ch27.m3u8
年代新闻,http://211.72.65.236:8539/.m3u8
年代新聞,http://50.7.234.10:8278/niandainews_twn/playlist.m3u8?tid=MBCB9184423891844238&ct=19249&tsum=ac0331d98099429b19c53fe6d20972ec
年代新聞(P2p),mitv://generationnexxxt.com:19806/95f67e884d88463e907c301d05fa68b7
華視新聞,https://sqrxz.us.kg/proxy/http://rjy.x3322.net:5000/litv/4gtv-4gtv052
華視新聞,https://litv.zapi.us.kg/?id=4gtv-4gtv052
華視,http://aktv.top/AKTV/live/aktv/null-11/AKTV.m3u8
華視,https://litv.zapi.us.kg/?id=4gtv-4gtv041
台视,rtmp://f13h.mine.nu/sat/tv071
台视,https://litv.zapi.us.kg/?id=4gtv-4gtv066
台视,P2p://generationnexxxt.com:19806/9868c18e3c0940cd8aa003d9ae54f862
台视,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV25.m3u8
台視財經台,https://litv.zapi.us.kg/?id=4gtv-4gtv056
台視財經台,https://sqrxz.us.kg/proxy/http://rjy.x3322.net:5000/litv/4gtv-4gtv056
台視新聞台,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV25.m3u8
台視新聞台,https://live.wcetv.com/hls/master-ttvnews.m3u8#https://live.wcetv.com/hls/m3u8/ttvnews.m3u8#https://live.wcetv.com/hls/m3u8/ttvnews.m3u8
台視新聞台,https://litv.zapi.us.kg/?id=4gtv-4gtv051
鳳凰資訊,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV22.m3u8
鳳凰資訊,http://aktv.top/AKTV/live/aktv/null-4/AKTV.m3u8
鳳凰資訊,http://125.227.210.55:39004/VideoInput/play.ts
民視新聞台,http://38.64.72.148/hls/modn/list/4012/playlist.m3u8
民視新聞台,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV17.m3u8
民視新聞台,https://sqrxz.us.kg/proxy/http://rjy.x3322.net:5000/litv/litv-ftv13
民視新聞台,http://37.27.111.214:8080/live/6/hls.m3u8
民視新聞台,http://38.64.72.148/hls/modn/list/4012/chunklist1.m3u8
民視新聞台P2p,P2p://generationnexxxt.com:19806/d24f18e610d248b7a450d29492b37ebf
民視新聞台P2p,mitv://generationnexxxt.com:19806/d24f18e610d248b7a450d29492b37ebf
鏡新聞台,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV70.m3u8
鏡新聞台,http://37.27.111.214:8080/live/62/hls.m3u8
鏡新聞台,https://litv.zapi.us.kg/?id=4gtv-4gtv075
鏡新聞台,P2p://generationnexxxt.com:19806/668a0abb880a496d8f57fad2f580566b
鏡新聞台,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV70.m3u8
鏡新聞台,mitv://generationnexxxt.com:19806/668a0abb880a496d8f57fad2f580566b
寰宇台湾,https://sqrxz.us.kg/proxy/http://rjy.x3322.net:5000/litv/litv-longturn15
寰宇台湾,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV41.m3u8
寰宇財經,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV85.m3u8
寰宇財經,http://37.27.111.214:8080/live/65/hls.m3u8
寰宇財經,https://sqrxz.us.kg/proxy/http://rjy.x3322.net:5000/litv/litv-longturn23
寰宇新聞台,https://sqrxz.us.kg/proxy/http://rjy.x3322.net:5000/litv/litv-longturn14
寰宇新聞台,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV02.m3u8
全球財经,http://rjy.x3322.net:5000/4gtv/224


台灣頻道,#genre#
三立臺灣,http://125.227.210.55:8160/VideoInput/play.ts
三立臺灣,http://211.72.65.236:8537/.m3u8
三立臺灣,http://211.23.114.106:8521/http/60.251.39.91:8081/hls/65/807/ch20.m3u8
三立新聞,http://125.227.210.55:8162/VideoInput/play.ts
三立新聞,http://aktv.top/AKTV/live/aktv/null-14/AKTV.m3u8
三立綜合,http://rjy.x3322.net:5000/4gtv/169
三立綜合,http://aktv.top/AKTV/live/aktv/null-13/AKTV.m3u8
三立綜合,http://37.27.111.214:8080/live/31/hls.m3u8
三立戲劇,http://61.221.215.25:8800/hls/41/index.m3u8
三立戲劇,https://stream1.freetv.fun/38b16d6f182cd55b7a542696a148d850cf352ea7c01b6a76d452002644e34fbb.m3u8
三立都會,http://211.72.65.236:8522/.m3u8
八大第一,http://61.221.215.25:8800/hls/55/index.m3u8
八大第一,http://50.7.234.10:8278/badafirst/playlist.m3u8?tid=MBDB5904995459049954&ct=19193&tsum=ab627e00a84b423b5747a65289eec076
八大第一,http://50.7.234.10:8278/badafirst/playlist.m3u8?tid=MD2D8073200480732004&ct=19254&tsum=5cb051b366ad3740cebcc06a987d749e
八大綜合,http://61.221.215.25:8800/hls/56/index.m3u8
八大綜合,http://50.7.234.10:8278/badazhonghe/playlist.m3u8?tid=MC5C5422299054222990&ct=19193&tsum=8189d5b21bdeabdffa3d2b2cbeaae0ae
八大戲劇,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV75.m3u8
八大戲劇,http://61.221.215.25:8800/hls/39/index.m3u8
八大精彩台,http://rjy.x3322.net:5000/litv/4gtv-4gtv034
大陸尋奇,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV71.m3u8
中天亞洲,http://aktv.top/AKTV/live/aktv/null-12/AKTV.m3u8
中天娛樂,http://211.72.65.236:8550/http/60.251.39.91:8081/hls/64/806/ch14.m3u8
中天娛樂,http://61.221.215.25:8800/hls/47/index.m3u8
中天新聞,http://aktv.top/AKTV/live/aktv/null-8/AKTV.m3u8
中天新聞,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV28.m3u8
中天新聞2台,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV49.m3u8
中天綜合,http://50.7.234.10:8278/ctizhonghe/playlist.m3u8?tid=MB6B3888954738889547&ct=19254&tsum=d0cb922e44e8a16bea598530697c581e
中天綜合,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV28.m3u8
中視,http://37.27.111.214:8080/live/7/hls.m3u8
中視,http://aktv.top/AKTV/live/aktv/null-10/AKTV.m3u8
中視,rtmp://f13h.mine.nu/sat/tv091
公視,http://125.227.210.55:8164/VideoInput/play.ts
台視,rtmp://f13h.mine.nu/sat/tv071
台視,http://litv.zapi.us.kg/4gTV/?id=4gtv-4gtv066
台視,mitv://generationnexxxt.com:19806/9868c18e3c0940cd8aa003d9ae54f862
台視新聞台,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV25.m3u8
台視新聞台,http://38.64.72.148:80/hls/modn/list/4013/chunklist1.m3u8
台視新聞台,https://litv.zapi.us.kg/?id=4gtv-4gtv051
台視綜合台,mitv://generationnexxxt.com:19806/6593a4d5000dedcb98fef0154abd184d
台視綜合台,P2p://generationnexxxt.com:19806/6593a4d5000dedcb98fef0154abd184d
民視,https://litv.zapi.us.kg/?id=4gtv-4gtv002
民視,http://211.72.65.236:8541/.m3u8
民視,http://37.27.111.214:8080/live/6/hls.m3u8
民視,rtmp://f13h.mine.nu/sat/tv051
民視新聞台,https://sqrxz.us.kg/proxy/http://rjy.x3322.net:5000/litv/litv-ftv13
民視台灣台,http://37.27.111.214:8080/live/5/hls.m3u8
民視台灣台,https://sqrxz.us.kg/proxy/http://rjy.x3322.net:5000/litv/4gtv-4gtv001
民視旅遊,https://sqrxz.us.kg/proxy/http://rjy.x3322.net:5000/litv/litv-ftv07
民視旅遊,http://litv.zapi.us.kg/?id=litv-ftv07
民視第一台,https://sqrxz.us.kg/proxy/http://rjy.x3322.net:5000/litv/4gtv-4gtv003
民視第一台,https://litv.zapi.us.kg/?id=4gtv-4gtv003
民視第一台,P2p://generationnexxxt.com:19806/1c48731982a54a59a9555f7247f3bf7f
民視第綜藝台,https://sqrxz.us.kg/proxy/http://rjy.x3322.net:5000/litv/4gtv-4gtv004
民視第一頻道,http://37.27.111.214:8080/live/4/hls.m3u8
民視臺灣,http://37.27.111.214:8080/live/5/hls.m3u8
民視戲劇,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV76.m3u8
地理野生動物,http://168.119.255.170/403/video.m3u8?token=M4f082ab4c
亞洲旅遊,http://37.27.111.214:8080/live/10/hls.m3u8
亞洲旅遊,http://61.221.215.25:8800/hls/50/index.m3u8
亞洲旅遊頻道,http://37.27.111.214:8080/live/10/hls.m3u8
居家,http://37.27.111.214:8080/live/26/hls.m3u8
東森超視,rtmp://f13h.mine.nu/sat/tv331
東森超視,http://38.64.72.148:80/hls/modn/list/2013/chunklist1.m3u8
東森新聞,http://220.249.51.134:10006/东森新闻-盗源者死全家/易發TV/hls.m3u8
東森Live,https://stream1.freetv.fun/27238a4dfef13f9989c8ed00588f93f244e815902d6d5c42241767e1714c0bb1.ctv
東森Live,http://litv.zapi.us.kg/?id=4gtv-4gtv152
東森美洲,http://37.27.111.214:8080/live/20/hls.m3u8
東森綜合,http://211.23.114.106:8535/http/59.120.8.187:8066/hls/210/10011/cstv11.m3u8
東森綜合,http://211.72.65.236:8524/.m3u8
非凡新聞,rtmp://f13h.mine.nu/sat/tv581
TVBS,http://125.227.210.55:8188/VideoInput/play.ts
TVBS,http://37.27.111.214:8080/live/23/hls.m3u8
TVBS,http://aktv.top/AKTV/live/aktv/tvbs/AKTV.m3u8
TVBS新聞,http://125.227.210.55:8186/VideoInput/play.ts
TVBS新聞,http://aktv.top/AKTV/live/aktv/tvbs-1/AKTV.m3u8
TVBS新聞,http://61.221.215.25:8800/hls/9/index.m3u8
TVBS歡樂,http://125.227.210.55:8187/VideoInput/play.ts
TVBS歡樂,http://37.27.111.214:8080/live/24/hls.m3u8
東風37台,http://211.72.65.236:8528/.m3u8
英文歌曲Top Songs,http://www.terrykang.xyz:35455/youtube/zqg3Xp1gsNM
泰國購物,http://aktv.top/AKTV/live/aktv/null-16/AKTV.m3u8
動物星球,http://61.221.215.25:8800/hls/57/index.m3u8
動物星球頻國,http://61.221.215.25:8800/hls/57/index.m3u8
動畫,http://37.27.111.214:8080/live/57/hls.m3u8
國家地理,http://168.119.255.170/402/video.m3u8?token=M4f082ab4c
探案電影頻道,http://37.27.111.214:8080/live/11/hls.m3u8
探索亞洲,http://61.221.215.25:8800/hls/50/index.m3u8
壹新聞,http://211.23.114.106:8511/http/116.50.42.19:8081/hls/71/813/ch41.m3u8
華視,http://125.227.210.55:8163/VideoInput/play.ts
華視,http://37.27.111.214:8080/live/8/hls.m3u8
華視,http://aktv.top/AKTV/live/aktv/null-11/AKTV.m3u8
華視,rtmp://f13h.mine.nu/sat/tv111
華視戲劇,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV12.m3u8
HBO,http://220.134.196.147:9520/http/60.251.39.91:8081/hls/71/813/ch41.m3u8
靖天電影,http://aktv.top/AKTV/live/aktv/null-6/AKTV.m3u8
臺灣戲劇台,https://litv.zapi.us.kg/?id=litv-longturn22
影迷數位台,https://litv.zapi.us.kg/?id=4gtv-4gtv011
影迷數位紀實台,https://sqrxz.us.kg/proxy/http://rjy.x3322.net:5000/4gtv/212
靖天综合台,https://litv.zapi.us.kg/?id=4gtv-4gtv046
靖天日本台,https://sqrxz.us.kg/proxy/http://rjy.x3322.net:5000/litv/4gtv-4gtv047
緯來日本,http://211.23.114.106:8537/http/60.251.39.91:8081/hls/69/811/ch34.m3u8
緯來日本,http://50.7.234.10:8278/videolandjapan/playlist.m3u8?tid=MBAB7250273772502737&ct=19344&tsum=2b580b485643235654de4a1bbc9639cb
緯來日本,http://tianhewan.top/ZIPP.php?url=http://211.72.65.236:8537/.m3u8
緯來日本,rtmp://f13h.mine.nu/sat/tv771
緯來育樂,http://211.72.65.236:8584/.m3u8
緯來育樂,rtmp://f13h.mine.nu/sat/tv701
緯來精彩,http://61.221.215.25:8800/hls/48/index.m3u8
緯來綜合,http://211.72.65.236:8518/.m3u8
緯來體育,rtmp://f13h.mine.nu/sat/tv721
豬哥亮歌廳國,http://37.27.111.214:8080/live/35/hls.m3u8
寰宇財經,http://37.27.111.214:8080/live/65/hls.m3u8
寰宇新聞,http://37.27.111.214:8080/live/63/hls.m3u8
寰宇新聞,http://aktv.top/AKTV/live/aktv/null-9/AKTV.m3u8
龍華日韓台,http://aktv.top/AKTV/live/aktv/null-22/AKTV.m3u8
龍華日韓台,https://litv.zapi.us.kg/?id=litv-longturn11
龍華經典台,http://aktv.top/AKTV/live/aktv/null-7/AKTV.m3u8
龍華電影台,https://sqrxz.us.kg/proxy/http://rjy.x3322.net:5000/litv/litv-longturn03
龍華電影台,https://litv.zapi.us.kg/?id=litv-longturn03
龍華戲劇台,https://sqrxz.us.kg/proxy/http://rjy.x3322.net:5000/litv/litv-longturn18
amc電影頻英,http://61.221.215.25:8800/hls/43/index.m3u8
萬秀豬王,http://37.27.111.214:8080/live/35/hls.m3u8
萬秀豬王,http://www.terrykang.xyz:35455/youtube/ADDSmXoPDY8
萬秀豬王,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV73.m3u8
博斯高球頻壹,http://37.27.111.214:8080/live/13/hls.m3u8
博斯運動頻壹,http://37.27.111.214:8080/live/14/hls.m3u8
ASC搜索頻英,http://61.221.215.25:8800/hls/50/index.m3u8
CNN News,http://125.227.210.55:8166/VideoInput/play.ts
CN卡通,http://125.227.210.55:8167/VideoInput/play.ts
Diso綜合頻英,http://61.221.215.25:8800/hls/1/index.m3u8
ELEVEN1,rtmp://f13h.mine.nu/sat/tv731
ELEVEN2,rtmp://f13h.mine.nu/sat/tv741
KKBOX華語單曲排行,http://www.terrykang.xyz:35455/youtube/SlnbT3GBeGI
momo,http://37.27.111.214:8080/live/3/hls.m3u8
MoMo綜合,rtmp://f13h.mine.nu/sat/tv761
MoMo親子國,http://37.27.111.214:8080/live/3/hls.m3u8
MTV,http://37.27.111.214:8080/live/25/hls.m3u8
Nick動畫頻壹,http://37.27.111.214:8080/live/12/hls.m3u8
Nick動畫頻貳,http://37.27.111.214:8080/live/22/hls.m3u8


影視頻道,#genre#
八大第一,http://61.221.215.25:8800/hls/55/index.m3u8
八大第一,http://50.7.234.10:8278/badafirst/playlist.m3u8?tid=MD2D8073200480732004&ct=19254&tsum=5cb051b366ad3740cebcc06a987d749e
八大第一,http://50.7.234.10:8278/badafirst/playlist.m3u8?tid=mb8efded78b4e12042621&ct=17874&tsum=028ad819cd9a0f949a043d652fa3e164
八大第一,http://50.7.234.10:8278/badafirst/playlist.m3u8?tid=MBDB5904995459049954&ct=19193&tsum=ab627e00a84b423b5747a65289eec076
八大第一,http://211.72.65.236:8519/.m3u8
八大综合,http://61.221.215.25:8800/hls/56/index.m3u8
八大综合,http://50.7.234.10:8278/badazhonghe/playlist.m3u8?tid=MCFC9951205299512052&ct=19249&tsum=dc4ca0de5e57c9f4caee0bb4e80c098a
八大综合,http://50.7.234.10:8278/badazhonghe/playlist.m3u8?tid=MC7C4692263546922635&ct=19225&tsum=ffdc7a6397b511103e0df0b92e678790
八大综合,http://211.72.65.236:8550/http/61.221.81.94:8088/hls/66/808/ch21.m3u8
八大综合,http://37.27.111.214:8080/live/21/hls.m3u8
八大戲劇,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV75.m3u8
八大戲劇,http://61.221.215.25:8800/hls/39/index.m3u8
八大戲劇,http://50.7.234.10:8278/badadrama/playlist.m3u8?tid=m4970c4e1b988&ct=18335&tsum=20cb1d15d4e116ab9e44edb542cf51a5
八大戲劇,http://50.7.234.10:8278/badadrama/playlist.m3u8?tid=ME4E4734124647341246&ct=19225&tsum=c4e596572a79ad99675ee2137d1cc43d
八大精彩台,https://litv.zapi.us.kg/?id=4gtv-4gtv034
八大综艺台,https://litv.zapi.us.kg/?id=4gtv-4gtv039
三立台灣,http://125.227.210.55:8160/VideoInput/play.ts
三立台灣,http://211.72.65.236:8537/.m3u8
三立国际台,https://epg.pw/stream/caee12e9a6003edf4b3527015471234fb74e84b94006b903a48c45e21184f133.ctv
三立综合,http://aktv.top/AKTV/live/aktv/null-13/AKTV.m3u8
三立综合,http://37.27.111.214:8080/live/31/hls.m3u8
三立都会,http://211.72.65.236:8522/.m3u8
三立戲劇,http://61.221.215.25:8800/hls/41/index.m3u8
三立戲劇,http://50.7.234.10:8278/sanlixiju_twn/playlist.m3u8?ct=19226&tid=MBDB8405357084053570&tsum=78944c0951d21a699e46fff4318a3799
三立戲劇,http://50.7.234.10:8278/sanlixiju_twn/playlist.m3u8?tid=MA8A4626080046260800&ct=19053&tsum=205a453781925ebfb8996c1db8d4ed59
民視影剧,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV76.m3u8
民視影剧,https://sqrxz.us.kg/proxy/http://rjy.x3322.net:5000/litv/litv-ftv09
民視影剧,http://37.27.111.214:8080/live/88/hls.m3u8
民视影剧,https://litv.zapi.us.kg/?id=litv-ftv09
台湾戏剧台,https://litv.zapi.us.kg/?id=litv-longturn22
公视戏剧,https://litv.zapi.us.kg/?id=4gtv-4gtv042
HBO HD,http://220.134.196.147:9520/http/60.251.39.91:8081/hls/71/813/ch41.m3u8
HBO HD,http://125.227.210.55:8153/VideoInput/play.ts
HBO-p3p,P2p://generationnexxxt.com:19806/ccabaebf243e4385a8f39a6abf31f8bb
HBO-p3p,p3p://167.114.175.6:55331/66d22f6b0001f87c739b69c977f063dd
HBO-p3p,p3p,p3p://108.181.32.169:42218/64137f970005246ea5845a9326ce6233
漫威影院,http://120.77.28.4:8648/douyu.php?id=6140589
欧美大片,http://120.77.28.4:8648/douyu.php?id=2793084
CI 罪案偵查頻道,http://rjy.x3322.net:5000/4gtv/215
探案台,http://37.27.111.214:8080/live/11/hls.m3u8
AMC电影,http://61.221.215.25:8800/hls/43/index.m3u8
AMC电影,https://litv.zapi.us.kg/?id=4gtv-4gtv017
AXN亞洲,https://streamer1.nexgen.bz/AXN/index.m3u8
AXN臺灣,https://z88.ubtvfans.com/live/rx1/2816/e5ef36f1ac98bfb819d5f3232972d391/index.m3u8
CHC高清電影,P2p://generationnexxxt.com:19806/c77364a223374152b5dfccd162cc159a
CHC高清電影,http://119.98.133.138:4000/rtp/239.69.1.241:11088
CHC動作電影,P2p://generationnexxxt.com:19806/ba97d7744f9b4bbaac3d6bb6b9e3798b
CHC動作電影,http://119.98.133.138:4000/rtp/239.69.1.242:11094
CHC家庭影院,P2p://generationnexxxt.com:19806/8083b7def9404a41808df7039034cac8
CHC家庭影院,http://119.98.133.138:4000/rtp/239.69.1.243:11100
CinemaWorld,http://37.27.111.214:8080/live/30/hls.m3u8
CineMAX,http://125.227.210.55:8151/VideoInput/play.ts
靖天電影台,https://litv.zapi.us.kg/?id=4gtv-4gtv061
靖天電影台,http://37.27.111.214:8080/live/18/hls.m3u8
靖天電影台,http://aktv.top/AKTV/live/aktv/null-6/AKTV.m3u8
靖天電影台,https://litv.zapi.us.kg/?id=4gtv-4gtv061
靖洋戲劇台,http://37.27.111.214:8080/live/17/hls.m3u8
靖天戲劇台,https://litv.zapi.us.kg/?id=4gtv-4gtv058
